Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: Regional, State and Local Organizations") And Edition (28)  LIMITS: Database ..."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - Industries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"DFPKRN520911743","Borderland Inspectors Association","c/o Ron Roth","2 Civic Center Plz., 5th Fl.","","","","El Paso, TX 79901 USA","El Paso","TX","79901","United States","915","(915)541-4808","","(915)541-4814","","http://www.boatx.org/Chapters.html","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Building Codes","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Ron Roth","","","",""
"IQJZZI146816449","Borderlands: Texas Poetry Review","PO Box 40876","","","","","Austin, TX 78704 USA","Austin","TX","78704","United States","","","","","borderlandspoetry@gmail.com","http://www.borderlands.org","8641","Civic and Social Associations","","","1991","10","","","None Reported","None Reported","","None Reported","Periodical","semiannual","No","None Reported","","","Poetry","4; 06","South Central and Great Plains States; Cultural Organizations","Ramona Cearley","","","",""
"ULWQKK125304476","Borger Chamber of Commerce","613 N Main St.","","","","","Borger, TX 79007-3528 USA","Borger","TX","79007-3528","United States","806","(806)274-2211","","(806)273-3488","borgerchamber@amaonline.com","http://www.borgerchamber.org","8611","Business Associations","","","1926","3","250000","","None Reported","None Reported","","Yes","Directory","annual","No","Yes","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Beverly Benton, CEO","","","",""
"GVBJDI824827493","Bowie Chamber of Commerce (BCC)","1616 E Wise St., Ste. C","","","","","Bowie, TX 76230 USA","Bowie","TX","76230","United States","940","(940)872-1173","866-872-1173","(940)872-3291","bowiechamber@communicomm.com","http://www.bowietxchamber.org","8611","Business Associations","","","1928","1","56000","","None Reported","None Reported","","Yes","Newsletter","monthly","No","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Keith Mundee","","","",""
"KAGZXI943534855","Bowie County Foster Parent Association","c/o Dee Sweeden, President","22 Lacey St.","","","","Hooks, TX 75561 USA","Hooks","TX","75561","United States","903","(903)547-7653","","","","http://www.tffa.org/about/board/region04","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Parents","4; 07","South Central and Great Plains States; Social Welfare Organizations","Dee Sweeden","","","",""
"QJHGDR159040292","Boy Scouts of America - Alamo Area Council","2226 NW Military Hwy.","","","","","San Antonio, TX 78213-1833 USA","San Antonio","TX","78213-1833","United States","210","(210)341-8611","","(210)341-7641","info@AlamoAreaBSA.org","http://www.alamoareabsa.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Scouting; Leadership","4; 05","South Central and Great Plains States; Educational Organizations","Michael De Los Santos","","","",""
"MAAYOQ031935608","Boy Scouts of America - Bay Area Council","3020 53rd St.","","","","","Galveston, TX 77551 USA","Galveston","TX","77551","United States","409","(409)744-5206","877-659-3879","(409)744-7850","","http://www.bacbsa.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Scouting; Leadership","4; 05","South Central and Great Plains States; Educational Organizations","Chuck Herrera","","","",""
"WQRSUN526444887","Boy Scouts of America - Capitol Area Council","12500 North IH 35","","","","","Austin, TX 78753 USA","Austin","TX","78753","United States","512","(512)617-8611; (512)926-6363","800-444-1910","(512)926-6870","info@bsacac.org","http://www.bsacac.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Scouting; Leadership","4; 05","South Central and Great Plains States; Educational Organizations","Jon Yates","","","",""
"UUDVUL029851677","Boy Scouts of America - Texas Southwest Council","104 Veterans Memorial Dr.","","","","","San Angelo, TX 76903 USA","San Angelo","TX","76903","United States","325","(325)655-7107","800-321-7107","(325)657-0139","bsa741@bsamail.org","http://tswcbsa.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Scouting; Leadership","4; 05","South Central and Great Plains States; Educational Organizations","Devin Koehler","","","",""
"MLMYSR755112803","Boy Scouts of America - Yucca Council","7601 Lockheed Dr.","","","","","El Paso, TX 79925 USA","El Paso","TX","79925","United States","915","(915)772-2292","800-580-4272","(915)772-4535","","http://www.yuccabsa.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Scouting; Leadership","4; 05","South Central and Great Plains States; Educational Organizations","Mario Perez","","","",""
"YYYSPJ965176190","Brazoria County Board of Realtors","628 Willow Dr.","","","","","Lake Jackson, TX 77566 USA","Lake Jackson","TX","77566","United States","979","(979)265-8043","","(979)265-4564","bcbr@sbcglobal.net","http://brazoriacountyrealtors.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Real Estate","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Toni Breaux","","","",""
"PKIPEE175361199","Brazos Association for Classical Horsemanship (BACH)","c/o Ginni Cifelli, Secretary","6809 Stousland Rd.","","","","College Station, TX 77845 USA","College Station","TX","77845","United States","979","(979)574-6093","","","","http://www.bachdressage.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Horseback Riding","4; 14","South Central and Great Plains States; Athletic and Sports Organizations","Ginni Cifelli","","","",""
"BJJRHB011602943","Brazos Valley Juniors (BVJ)","4600 Double Eagle","","","","","College Station, TX 77845 USA","College Station","TX","77845","United States","979","(979)255-0361","","","brazosvalleyjuniors@gmail.com","http://www.eteamz.com/brazosvalleyjuniors","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Volleyball","4; 14","South Central and Great Plains States; Athletic and Sports Organizations","Cindy Buban","","","",""
"LGIAGH273732543","Brazos Valley Professional Photographers Association","c/o Connor Fuller, CPP","103 W Lavielle St.","","","","Kirbyville, TX 75956 USA","Kirbyville","TX","75956","United States","409","(409)423-7061; (409)423-9525","","","","http://brazosvalleyppa.com","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Photography","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Melinda Reddehase","","","",""
"BXMRLH833966541","Brazos Valley Restaurant Association","c/o Clayton Rhoades, President","Chicken Express","12875 Wellborn, FM 2154","","","College Station, TX 77845 USA","College Station","TX","77845","United States","512","(512)457-4100","","","","http://www.restaurantville.com/membership/local-chapters","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Hospitality Industries","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Clayton Rhoades","","","",""
"BWETBI567278526","Brazos Valley Small Business Development Center","4001 E 29th St., Ste. 175","","","","","Bryan, TX 77802-4209 USA","Bryan","TX","77802-4209","United States","979","(979)260-5222","","(979)260-5229","info@bvsbdc.org","http://www.brazosvalley.sbdcnetwork.net/brazosvalley/default.asp","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Small Business","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","James Pillans","","","",""
"XZPYFJ611964599","Brewery Collectibles Club of America - Bluebonnet Chapter","c/o Michael Lombardo, Editor","570 Perro Pl.","","","","Highland Village, TX 75077-7217 USA","Highland Village","TX","75077-7217","United States","","","","","","http://www.bcca.com/chapter/bluebonnet.asp","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Collectors","4; 13","South Central and Great Plains States; Hobby and Avocational Organizations","Michael Lombardo","","","",""
"FWCYAW010091934","Bridgeport Area Chamber of Commerce (BACC)","812 A Halsell St.","","","","","Bridgeport, TX 76426 USA","Bridgeport","TX","76426","United States","940","(940)683-2076","","","","http://www.bridgeportchamber.org","8611","Business Associations","8748","Business Consulting Services Nec","1968","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Tiffany Evans","","","",""
"IFZSQR561512359","Bronte Evening Lions Club","c/o Reese B. Braswell, President","PO Box 624","","","","Bronte, TX 76933 USA","Bronte","TX","76933","United States","325","(325)473-8842","","","","http://www.txlionsdistrict2a1.com","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Delmar Bratcher","","","",""
"YYJPAR438594108","Brooks-Duval-Jim Wells County Medical Society","c/o Erik Nisimblat, MD, President","305 E 3rd St.","","","","Alice, TX 78332-4705 USA","Alice","TX","78332-4705","United States","361","(361)664-9353; (361)664-5535","","(361)664-1123","","http://www.texmed.org/cms","8621","Professional Organizations","","","","","","10","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical","4; 08","South Central and Great Plains States; Health and Medical Organizations","Erik Nisimblat, MD","","","",""
"VYKKPN868013717","Brownsville Convention and Visitors Bureau (BCVB)","650 Ruben M. Torres Sr. Blvd.","","","","","Brownsville, TX 78521 USA","Brownsville","TX","78521","United States","956","(956)546-3721","800-626-2639","(956)546-3972","brownsvilleinfo@brownsville.org","http://www.brownsville.org","8699","Membership Organizations Nec","","","","9","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Tourism","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Mariano Ayala, CEO","","","",""
"TXBSVM745957818","Brownsville Customs Brokers Association","c/o Roser and Cowen Logistical Customs Services, Ltd.","4695 Towerwood Dr.","","","","Brownsville, TX 78521 USA","Brownsville","TX","78521","United States","956","(956)831-8533","","(956)831-8615","","http://www.ncbfaa.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Shipping","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Geoffrey Powell","","","",""
"GEHDWI091847738","Brownwood CB Emergency Unit","PO Box 2364","","","","","Brownwood, TX 76804 USA","Brownwood","TX","76804","United States","","","","","corky11@harrisbb.com","http://www.reactteams.com/region.php?id=7","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Private Radio","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","","","","",""
